Age,Gender,Education Level,Job Title,Years of Experience,Salary
31.0,Male,Bachelor's Degree,Operations Manager,6.0,75000.0
27.0,Female,Master's Degree,Human Resources Coordinator,3.0,50000.0
42.0,Male,PhD,Data Scientist,14.0,140000.0
34.0,Female,Bachelor's Degree,Human Resources Manager,6.0,75000.0
26.0,Male,High School,Junior Sales Associate,2.0,30000.0
39.0,Female,Master's Degree,Marketing Manager,11.0,120000.0
30.0,Male,Bachelor's Degree,Software Engineer,4.0,65000.0
47.0,Male,PhD,Data Scientist,19.0,190000.0
25.0,Female,Bachelor's Degree,Junior Software Developer,1.0,35000.0
40.0,Female,Master's Degree,Human Resources Manager,12.0,130000.0
33.0,Male,Bachelor's Degree,Operations Manager,7.0,85000.0
29.0,Female,High School,Junior Sales Associate,1.0,25000.0
44.0,Male,PhD,Data Scientist,15.0,150000.0
28.0,Male,Bachelor's Degree,Software Developer,3.0,60000.0
31.0,Male,Bachelor's Degree,Software Engineer,5.0,80000.0
27.0,Female,Master's Degree,Marketing Manager,3.0,60000.0
38.0,Male,PhD,Data Scientist,12.0,130000.0
29.0,Female,Bachelor's Degree,Human Resources Coordinator,2.0,45000.0
23.0,Male,High School,Junior Sales Associate,1.0,25000.0
32.0,Female,Master's Degree,Software Developer,7.0,90000.0
44.0,Male,Bachelor's Degree,Operations Manager,18.0,170000.0
26.0,Female,Bachelor's Degree,Marketing Coordinator,2.0,40000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
36.0,Male,Bachelor's Degree,Operations Manager,9.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,25000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
29.0,Male,Bachelor's Degree,Software Developer,5.0,80000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,90000.0
28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
36.0,Male,Bachelor's Degree,Operations Manager,9.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,25000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
29.0,Male,Bachelor's Degree,Software Developer,5.0,80000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,90000.0
28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
36.0,Male,Bachelor's Degree,Operations Manager,9.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,25000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
29.0,Male,Bachelor's Degree,Software Developer,5.0,80000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,90000.0
28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
36.0,Male,Bachelor's Degree,Operations Manager,9.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,25000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
29.0,Male,Bachelor's Degree,Software Developer,5.0,80000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,90000.0
28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
36.0,Male,Bachelor's Degree,Operations Manager,9.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,25000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
29.0,Male,Bachelor's Degree,Software Developer,5.0,80000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,90000.0
28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
36.0,Male,Bachelor's Degree,Operations Manager,9.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,25000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
29.0,Male,Bachelor's Degree,Software Developer,5.0,80000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,90000.0
28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0
40.0,Male,PhD,Data Scientist,15.0,150000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,8.0,95000.0
24.0,Male,High School,Junior Sales Associate,1.0,25000.0
35.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
